seed,pair,strategy,device,n_train_examples,n_test_sentences,learned_bleurt,meprs_avg_bleurt,best_baseline_bleurt,oracle_bleurt,learned_minus_meprs,learned_minus_best_baseline,learned_top1_rate,learned_selected_counts_json
1,de-en,it,cuda,15000,200,76.89511108398438,77.27710723876953,75.8310546875,77.46929931640625,-0.38199615478515625,1.064056396484375,0.755,"{""C3"": 70, ""C35"": 84, ""G35"": 6, ""G4o"": 39, ""GP"": 1}"
1,de-en,tear,cuda,15000,200,76.73052978515625,77.38404846191406,75.412841796875,77.5422592163086,-0.6535186767578125,1.31768798828125,0.575,"{""C3"": 76, ""C35"": 65, ""G35"": 15, ""G4o"": 36, ""GP"": 8}"
1,en-de,it,cuda,15000,200,73.55717468261719,73.80809783935547,71.26420593261719,74.62203979492188,-0.25092315673828125,2.29296875,0.71,"{""C3"": 78, ""C35"": 93, ""G35"": 6, ""G4o"": 23, ""GP"": 0}"
1,en-de,tear,cuda,15000,200,75.65367126464844,76.54761505126953,72.77326965332031,76.84510803222656,-0.8939437866210938,2.880401611328125,0.67,"{""C3"": 78, ""C35"": 43, ""G35"": 20, ""G4o"": 58, ""GP"": 1}"
1,en-he,it,cuda,15000,200,85.07659912109375,84.50730895996094,83.34127807617188,85.8603515625,0.5692901611328125,1.735321044921875,0.775,"{""C3"": 62, ""C35"": 100, ""G35"": 1, ""G4o"": 36, ""GP"": 1}"
1,en-he,tear,cuda,15000,200,86.8033676147461,87.28578186035156,84.5760498046875,87.46580505371094,-0.48241424560546875,2.2273178100585938,0.72,"{""C3"": 58, ""C35"": 62, ""G35"": 15, ""G4o"": 54, ""GP"": 11}"
1,en-ru,it,cuda,15000,200,80.83760833740234,81.28279113769531,78.98091125488281,81.75302124023438,-0.44518280029296875,1.8566970825195312,0.75,"{""C3"": 74, ""C35"": 91, ""G35"": 0, ""G4o"": 31, ""GP"": 4}"
1,en-ru,tear,cuda,15000,200,81.99107360839844,82.64553833007812,79.02670288085938,82.9068832397461,-0.6544647216796875,2.9643707275390625,0.7,"{""C3"": 68, ""C35"": 56, ""G35"": 24, ""G4o"": 43, ""GP"": 9}"
1,en-zh,it,cuda,15000,200,70.73167419433594,71.33824920654297,69.1702880859375,71.58246612548828,-0.6065750122070312,1.5613861083984375,0.78,"{""C3"": 67, ""C35"": 96, ""G35"": 2, ""G4o"": 32, ""GP"": 3}"
1,en-zh,tear,cuda,15000,200,71.9756088256836,72.86324310302734,70.03533935546875,73.16810607910156,-0.88763427734375,1.9402694702148438,0.6,"{""C3"": 77, ""C35"": 56, ""G35"": 15, ""G4o"": 47, ""GP"": 5}"
1,he-en,it,cuda,15000,200,81.81430053710938,82.06734466552734,79.02647399902344,82.27359008789062,-0.25304412841796875,2.7878265380859375,0.77,"{""C3"": 56, ""C35"": 75, ""G35"": 10, ""G4o"": 48, ""GP"": 11}"
1,he-en,tear,cuda,15000,200,81.24394226074219,82.19093322753906,78.04129028320312,82.33609008789062,-0.946990966796875,3.2026519775390625,0.745,"{""C3"": 65, ""C35"": 58, ""G35"": 27, ""G4o"": 41, ""GP"": 9}"
1,ru-en,it,cuda,15000,200,79.61576843261719,80.15237426757812,78.52532958984375,80.17803955078125,-0.5366058349609375,1.0904388427734375,0.725,"{""C3"": 51, ""C35"": 84, ""G35"": 6, ""G4o"": 39, ""GP"": 20}"
1,ru-en,tear,cuda,15000,200,79.99079895019531,80.70135498046875,78.6249771118164,80.74923706054688,-0.7105560302734375,1.3658218383789062,0.675,"{""C3"": 62, ""C35"": 70, ""G35"": 18, ""G4o"": 41, ""GP"": 9}"
1,zh-en,it,cuda,15000,200,70.43209075927734,70.7402572631836,68.59211730957031,71.13445281982422,-0.30816650390625,1.8399734497070312,0.725,"{""C3"": 57, ""C35"": 77, ""G35"": 7, ""G4o"": 50, ""GP"": 9}"
1,zh-en,tear,cuda,15000,200,70.81877136230469,71.90283966064453,68.54129028320312,71.97479248046875,-1.0840682983398438,2.2774810791015625,0.65,"{""C3"": 62, ""C35"": 59, ""G35"": 19, ""G4o"": 54, ""GP"": 6}"
2,de-en,it,cuda,15000,200,76.83802032470703,77.27710723876953,75.8310546875,77.46929931640625,-0.4390869140625,1.0069656372070312,0.725,"{""C3"": 68, ""C35"": 92, ""G35"": 5, ""G4o"": 32, ""GP"": 3}"
2,de-en,tear,cuda,15000,200,76.69918823242188,77.38404846191406,75.412841796875,77.5422592163086,-0.6848602294921875,1.286346435546875,0.61,"{""C3"": 74, ""C35"": 68, ""G35"": 15, ""G4o"": 39, ""GP"": 4}"
2,en-de,it,cuda,15000,200,73.35562896728516,73.80809783935547,71.26420593261719,74.62203979492188,-0.4524688720703125,2.0914230346679688,0.685,"{""C3"": 70, ""C35"": 101, ""G35"": 5, ""G4o"": 24, ""GP"": 0}"
2,en-de,tear,cuda,15000,200,75.73226928710938,76.54761505126953,72.77326965332031,76.84510803222656,-0.8153457641601562,2.9589996337890625,0.655,"{""C3"": 69, ""C35"": 54, ""G35"": 28, ""G4o"": 47, ""GP"": 2}"
2,en-he,it,cuda,15000,200,85.2004623413086,84.50730895996094,83.34127807617188,85.8603515625,0.6931533813476562,1.8591842651367188,0.77,"{""C3"": 54, ""C35"": 106, ""G35"": 1, ""G4o"": 38, ""GP"": 1}"
